session,session_dir,task,task_id,prompt,trial,is_success,checkpoint_profile,checkpoint_path,chunks,video_dir,notes,labeled_at
20260917_221716,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_221716,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,1,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,96,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_221716/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_222244,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_222244,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,2,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,165,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_222244/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_222714,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_222714,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,3,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,68,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_222714/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_222838,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_222838,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,4,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,134,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_222838/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_223101,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_223101,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,5,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,149,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_223101/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_225634,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_225634,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,6,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,284,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_225634/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_230508,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_230508,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,7,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,85,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_230508/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_230645,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_230645,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,8,0,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,209,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_230645/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_231131,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231131,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,9,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,53,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231131/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_231449,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231449,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,10,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,111,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231449/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_231638,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231638,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,11,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,110,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231638/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_231854,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231854,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,12,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,59,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_231854/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
20260917_232151,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232151,Place all the objects on the desk into the white basket.,place_fruits_on_plate_rc,Place all the fruits on the plate.,13,1,d2,/home/amax/checkpoints/pi05-Recap-Franka/20260828-080659-franka_pi05_rlinf_d2/sft_franka_shuo_pi05/checkpoints/global_step_23000/actor/model_state_dict/full_weights.pt,64,/home/pnp/桌面/franka_deploy_0128_ee/franka_deploy/logs/session_async_20260917_232151/videos,auto-labeled from 30-episode SR evaluation sequence,2026-09-24T11:46:39
